"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AP2M11",3.08541699416555e-08,0.47623751387397,0.441,0.341,0.00043890056742005,"Cholangiocytes","AP2M1"
"COL4A5",3.14439460014932e-08,2.84052898117426,0.02,0.003,0.00044729013187124,"Cholangiocytes","COL4A5"
"PTK7",3.17373651054447e-08,2.74741957678278,0.02,0.003,0.000451464018624951,"Cholangiocytes","PTK7"
"IL27RA",3.18679848961883e-08,1.76524085387002,0.041,0.012,0.000453322085148278,"Cholangiocytes","IL27RA"
"TNFAIP8L3",3.20380968984055e-08,2.64788390323186,0.02,0.003,0.000455741928379818,"Cholangiocytes","TNFAIP8L3"
"SPC24",3.21348822874232e-08,1.74099330762335,0.041,0.012,0.000457118700538595,"Cholangiocytes","SPC24"
"FAM3C",3.22138463456134e-08,0.847481741816026,0.154,0.086,0.000458241964266351,"Cholangiocytes","FAM3C"
"CERS5",3.23912851056736e-08,1.84052898117426,0.038,0.011,0.000460766030628207,"Cholangiocytes","CERS5"
"TAPBP",3.2408656942469e-08,0.408347396945162,0.528,0.418,0.000461013145006621,"Cholangiocytes","TAPBP"
"NLGN2",3.27139109932068e-08,2.09206774817022,0.034,0.009,0.000465355383878367,"Cholangiocytes","NLGN2"
"CSK",3.28494999156394e-08,0.82203263755687,0.207,0.129,0.000467284136299971,"Cholangiocytes","CSK"
"OAZ11",3.28971529976291e-08,0.308435709301483,0.753,0.687,0.000467962001391275,"Cholangiocytes","OAZ1"
"PIEZO1",3.31985219803188e-08,0.935777296322075,0.134,0.071,0.000472248975170034,"Cholangiocytes","PIEZO1"
"PPFIBP1",3.39226040898857e-08,0.932604566072638,0.137,0.074,0.000482549043178624,"Cholangiocytes","PPFIBP1"
"ADD11",3.40771070375687e-08,0.616621919235813,0.287,0.196,0.000484746847609414,"Cholangiocytes","ADD1"
"F2R",3.42157854135263e-08,1.07499423481128,0.101,0.049,0.000486719547507411,"Cholangiocytes","F2R"
"TELO2",3.47236512358987e-08,0.918331132777892,0.144,0.08,0.000493943938830658,"Cholangiocytes","TELO2"
"EPC1",3.50293032819628e-08,1.0588099861035,0.108,0.053,0.000498291839185921,"Cholangiocytes","EPC1"
"DYRK1A",3.62877163100111e-08,1.00928343890863,0.115,0.058,0.000516192764509907,"Cholangiocytes","DYRK1A"
"MYO1G",3.6328053798165e-08,1.64258960356235,0.049,0.017,0.000516766565278897,"Cholangiocytes","MYO1G"
"RBP11",3.65128110354824e-08,0.685895631684537,0.204,0.125,0.000519394736979737,"Cholangiocytes","RBP1"
"PALM2-AKAP2",3.65787710999048e-08,0.700129932035119,0.249,0.164,0.000520333018896145,"Cholangiocytes","PALM2-AKAP2"
"IFI301",3.67799454075958e-08,0.676351173783107,0.458,0.376,0.00052319472342305,"Cholangiocytes","IFI30"
"PLD31",3.7520776679053e-08,0.522453211782503,0.382,0.285,0.000533733048259529,"Cholangiocytes","PLD3"
"SFPQ",3.93092837576457e-08,0.472356701517669,0.406,0.303,0.000559174561452511,"Cholangiocytes","SFPQ"
"DCAF16",3.99495801661244e-08,1.38109736253696,0.069,0.028,0.000568282777863119,"Cholangiocytes","DCAF16"
"BLVRA",3.99755126729696e-08,1.54354724341713,0.052,0.018,0.000568651667772992,"Cholangiocytes","BLVRA"
"SOCS1",4.06117504413475e-08,1.46501984608205,0.055,0.02,0.000577702150028169,"Cholangiocytes","SOCS1"
"DDX6",4.11901827023761e-08,0.716200846172057,0.217,0.136,0.0005859303489413,"Cholangiocytes","DDX6"
"NCOA3",4.20029461125945e-08,1.04735996535997,0.108,0.053,0.000597491908451657,"Cholangiocytes","NCOA3"
"GUCY1B1",4.23484415583044e-08,2.33356899245438,0.026,0.006,0.000602406581166881,"Cholangiocytes","GUCY1B1"
"LSM14A",4.24031714812451e-08,0.758999095677661,0.19,0.115,0.000603185114320711,"Cholangiocytes","LSM14A"
"NSF",4.24743831565251e-08,0.950153472348757,0.123,0.064,0.000604198100401569,"Cholangiocytes","NSF"
"TCERG1",4.2607593161566e-08,0.966059863258118,0.131,0.07,0.000606093012723276,"Cholangiocytes","TCERG1"
"VAV11",4.2748819246422e-08,1.23003138834597,0.081,0.036,0.000608101953780353,"Cholangiocytes","VAV1"
"IRF91",4.45091515613141e-08,0.559095664514956,0.313,0.219,0.000633142680959693,"Cholangiocytes","IRF9"
"PIK3CG",4.50128759142199e-08,2.18156589900933,0.028,0.006,0.000640308159879778,"Cholangiocytes","PIK3CG"
"SF3B3",4.58477020050739e-08,1.09107244282486,0.101,0.049,0.000652183561022176,"Cholangiocytes","SF3B3"
"FABP4",4.6194164239985e-08,2.74741957678278,0.018,0.003,0.000657111986313787,"Cholangiocytes","FABP4"
"SORBS1",4.81017461009046e-08,0.886640906028571,0.195,0.12,0.000684247338285368,"Cholangiocytes","SORBS1"
"EIF3A",4.86703355036999e-08,0.402577089947413,0.505,0.4,0.000692335522540131,"Cholangiocytes","EIF3A"
"PCSK7",4.86861785815744e-08,0.847984786093306,0.146,0.081,0.000692560890322896,"Cholangiocytes","PCSK7"
"ST6GALNAC6",4.90598082023585e-08,0.64279861407208,0.253,0.167,0.00069787577167855,"Cholangiocytes","ST6GALNAC6"
"SACM1L",4.95447412855324e-08,1.03600010319542,0.109,0.054,0.000704773944786698,"Cholangiocytes","SACM1L"
"SPIB",4.97107204142311e-08,2.59260146773067,0.022,0.004,0.000707134997892438,"Cholangiocytes","SPIB"
"TRAJ11",5.02339697283962e-08,2.49949206333919,0.022,0.004,0.000714578219386435,"Cholangiocytes","TRAJ11"
"FRMD6",5.0313850195926e-08,1.59260146773067,0.048,0.016,0.000715714519037047,"Cholangiocytes","FRMD6"
"TCEAL9",5.03163437284469e-08,1.02207635023332,0.111,0.056,0.000715749989537157,"Cholangiocytes","TCEAL9"
"PHPT1",5.06371599371691e-08,0.51177424086361,0.35,0.25,0.00072031360010623,"Cholangiocytes","PHPT1"
"DNAJC13",5.10441261125005e-08,1.27382868684583,0.077,0.033,0.000726102693950319,"Cholangiocytes","DNAJC13"
"MS4A4A1",5.16647043844457e-08,1.23718795113825,0.077,0.033,0.00073493041986874,"Cholangiocytes","MS4A4A"
"ZNF655",5.29558554194267e-08,0.928884855595106,0.144,0.08,0.000753297043341345,"Cholangiocytes","ZNF655"
"SNX27",5.30157234837738e-08,1.14921449928077,0.091,0.042,0.000754148666556683,"Cholangiocytes","SNX27"
"MRC11",5.36403138088004e-08,0.946519676862473,0.161,0.094,0.000763033463930185,"Cholangiocytes","MRC1"
"UAP1L1",5.38291988238929e-08,1.56042106198152,0.051,0.018,0.000765720353269877,"Cholangiocytes","UAP1L1"
"EXOSC10",5.61581896545676e-08,1.18602554720003,0.081,0.036,0.000798850247836225,"Cholangiocytes","EXOSC10"
"SRF",5.73438934665731e-08,1.0583746132418,0.098,0.047,0.000815716884562002,"Cholangiocytes","SRF"
"MSC",5.76006757437758e-08,3.42549148189541,0.012,0.001,0.00081936961245521,"Cholangiocytes","MSC"
"PDE4C",5.76006757437758e-08,3.42549148189541,0.012,0.001,0.00081936961245521,"Cholangiocytes","PDE4C"
"ST8SIA1",5.76006757437758e-08,3.42549148189541,0.012,0.001,0.00081936961245521,"Cholangiocytes","ST8SIA1"
"SGPP1",5.79329284924006e-08,0.802489620155086,0.183,0.11,0.000824095907804398,"Cholangiocytes","SGPP1"
"BMI1",5.96370458671221e-08,0.775011570250052,0.169,0.099,0.000848336977459811,"Cholangiocytes","BMI1"
"LIN7B",6.0052915491128e-08,1.81499388906712,0.04,0.012,0.000854252722861296,"Cholangiocytes","LIN7B"
"ARHGAP15",6.13379079853024e-08,1.76252646917299,0.04,0.012,0.000872531741090926,"Cholangiocytes","ARHGAP15"
"CPSF6",6.1417739403576e-08,0.756359213804957,0.189,0.115,0.000873667343015869,"Cholangiocytes","CPSF6"
"P2RX1",6.22401268237817e-08,2.95600619859419,0.017,0.002,0.000885365804068295,"Cholangiocytes","P2RX1"
"TKT1",6.24163839005102e-08,0.672328660201408,0.257,0.172,0.000887873060984758,"Cholangiocytes","TKT"
"PTGES2",6.24426290065863e-08,0.804253594782709,0.16,0.092,0.00088824639761869,"Cholangiocytes","PTGES2"
"CASC3",6.26403990011465e-08,0.751628476585329,0.177,0.105,0.000891059675791309,"Cholangiocytes","CASC3"
"ANK2",6.27154805305657e-08,2.84052898117426,0.017,0.002,0.000892127710547297,"Cholangiocytes","ANK2"
"TFCP2",6.33775368751674e-08,1.28659337607373,0.071,0.029,0.000901545462049257,"Cholangiocytes","TFCP2"
"GIMAP8",6.4265157881583e-08,1.08402320061241,0.098,0.047,0.000914171870865518,"Cholangiocytes","GIMAP8"
"SYTL1",6.63471461575884e-08,2.38109736253696,0.023,0.005,0.000943788154091695,"Cholangiocytes","SYTL1"
"EPB41L4A",6.63471461575884e-08,2.38109736253696,0.023,0.005,0.000943788154091695,"Cholangiocytes","EPB41L4A"
"FAM163B",6.65605836648306e-08,1.32726794580729,0.075,0.032,0.000946824302632215,"Cholangiocytes","FAM163B"
"ME3",6.65809044851973e-08,1.62480029011882,0.046,0.015,0.000947113366301931,"Cholangiocytes","ME3"
"HOPX",6.68674864529323e-08,2.31696702511725,0.023,0.005,0.000951189994792962,"Cholangiocytes","HOPX"
"ZNF496",6.79582388038429e-08,1.38109736253696,0.065,0.026,0.000966705946984665,"Cholangiocytes","ZNF496"
"TNFSF12",6.86792471329376e-08,1.42549148189542,0.058,0.022,0.000976962290466038,"Cholangiocytes","TNFSF12"
"MYO1D",6.92348288555919e-08,1.48207501026178,0.057,0.021,0.000984865440470795,"Cholangiocytes","MYO1D"
"SWAP70",7.05814424400282e-08,1.59260146773067,0.048,0.016,0.0010040210187094,"Cholangiocytes","SWAP70"
"DMTF1",7.14687547528062e-08,1.0917862192317,0.092,0.043,0.00101664303635867,"Cholangiocytes","DMTF1"
"MAP3K6",7.20942737537632e-08,1.48854365243072,0.055,0.02,0.00102554104414728,"Cholangiocytes","MAP3K6"
"FCHO21",7.21742523041245e-08,0.833333479770055,0.149,0.084,0.00102667873902617,"Cholangiocytes","FCHO2"
"FPR1",7.32121346301425e-08,2.02339303832407,0.031,0.008,0.00104144261511378,"Cholangiocytes","FPR1"
"GPRIN3",7.33485294138226e-08,1.55102236397927,0.052,0.019,0.00104338283091163,"Cholangiocytes","GPRIN3"
"CFLAR",7.38154281491188e-08,0.60392270061811,0.281,0.192,0.00105002446542122,"Cholangiocytes","CFLAR"
"PTPRD",7.39707920031572e-08,1.38415068651452,0.063,0.025,0.00105223451624491,"Cholangiocytes","PTPRD"
"AIF1L",7.60086410467545e-08,3.29996059981156,0.014,0.002,0.00108122291889008,"Cholangiocytes","AIF1L"
"RALB",7.63513506812362e-08,1.09159074534198,0.103,0.051,0.00108609796344058,"Cholangiocytes","RALB"
"ESRP1",7.64370346027257e-08,3.16245707606162,0.014,0.002,0.00108731681722377,"Cholangiocytes","ESRP1"
"RAP1A1",7.75380988765027e-08,0.67790878035518,0.246,0.163,0.00110297945651825,"Cholangiocytes","RAP1A"
"CD27",7.93228594814517e-08,2.10356338700805,0.029,0.007,0.00112836767612365,"Cholangiocytes","CD27"
"VPS13B",7.98492461767103e-08,0.904849962141115,0.129,0.069,0.0011358555268637,"Cholangiocytes","VPS13B"
"BMS1",7.9873925067863e-08,0.897753849867209,0.134,0.073,0.00113620658409035,"Cholangiocytes","BMS1"
"YEATS2",8.07310203442557e-08,1.67614216327338,0.043,0.014,0.00114839876439704,"Cholangiocytes","YEATS2"
"CNTRL",8.10028464458139e-08,1.37790202337716,0.061,0.024,0.0011522654906917,"Cholangiocytes","CNTRL"
"ARHGAP22",8.10915020776212e-08,2.56042106198152,0.02,0.003,0.00115352661705416,"Cholangiocytes","ARHGAP22"
"CCDC102A",8.24923382886207e-08,2.20826076567475,0.028,0.006,0.00117345351215563,"Cholangiocytes","CCDC102A"
"RCOR3",8.31755565633066e-08,1.02729749277999,0.104,0.052,0.00118317229211304,"Cholangiocytes","RCOR3"
"GPD1L",8.43363660310903e-08,2.08845649461784,0.028,0.006,0.00119968480679226,"Cholangiocytes","GPD1L"
"SLC8A11",8.50650586213999e-08,1.27418215862045,0.075,0.033,0.00121005045888941,"Cholangiocytes","SLC8A1"
"CORO1B",8.53556529307774e-08,0.662990795622072,0.192,0.117,0.00121418416294031,"Cholangiocytes","CORO1B"
"ALDH3B1",8.72536612457517e-08,1.64497817205645,0.045,0.015,0.00124118333122082,"Cholangiocytes","ALDH3B1"
"SRSF1",8.77536424025179e-08,0.469273173923328,0.401,0.302,0.00124829556317582,"Cholangiocytes","SRSF1"
"CDC123",8.81861930282632e-08,0.71182664245846,0.206,0.129,0.00125444859582704,"Cholangiocytes","CDC123"
"HIP1",8.90029590649018e-08,1.27662809598093,0.069,0.029,0.00126606709269823,"Cholangiocytes","HIP1"
"ENOPH1",8.92828105658311e-08,1.08153708067805,0.097,0.047,0.00127004798029895,"Cholangiocytes","ENOPH1"
"MTCL1",9.01344306007471e-08,1.96605986325812,0.034,0.009,0.00128216227529563,"Cholangiocytes","MTCL1"
"NFKB1",9.05244830458302e-08,0.8676408267915,0.14,0.077,0.00128771077132693,"Cholangiocytes","NFKB1"
"RCN3",9.31901228532019e-08,0.998070258160739,0.123,0.065,0.0013256294975868,"Cholangiocytes","RCN3"
"THOC5",9.33355075077796e-08,0.910069914427336,0.127,0.068,0.00132769759429817,"Cholangiocytes","THOC5"
"PLPP1",9.34622198220112e-08,0.728393270843711,0.194,0.119,0.00132950007696811,"Cholangiocytes","PLPP1"
"PLCB2",9.38915794966933e-08,1.33066793569382,0.068,0.028,0.00133560771834046,"Cholangiocytes","PLCB2"
"SOX13",9.42265794996294e-08,1.06456925539219,0.103,0.051,0.00134037309338223,"Cholangiocytes","SOX13"
"COL27A1",9.49121154928562e-08,0.7149980990904,0.204,0.128,0.00135012484288588,"Cholangiocytes","COL27A1"
"DDX39B",9.5097375948525e-08,0.463153530031479,0.439,0.342,0.00135276017286777,"Cholangiocytes","DDX39B"
"KIF12",9.51815886403623e-08,1.13183111203086,0.095,0.046,0.00135395809840915,"Cholangiocytes","KIF12"
"RHOF",9.53414098353076e-08,1.58527192593218,0.046,0.015,0.00135623155490725,"Cholangiocytes","RHOF"
"SLC10A3",9.55952047673309e-08,1.48854365243072,0.055,0.021,0.00135984178781528,"Cholangiocytes","SLC10A3"
"KCNK5",9.57135657217734e-08,1.54929768350981,0.054,0.02,0.00136152547239223,"Cholangiocytes","KCNK5"
"DR1",9.64305223137052e-08,0.796551284113657,0.155,0.089,0.00137172417991246,"Cholangiocytes","DR1"
"EPS8",1.05666943328117e-07,0.981127311347059,0.106,0.053,0.00150311226884247,"Cholangiocytes","EPS8"
"SYTL2",1.08206590316417e-07,1.94240859519347,0.032,0.009,0.00153923874725103,"Cholangiocytes","SYTL2"
"MAP3K20",1.12409511774606e-07,1.01949912221958,0.124,0.067,0.00159902530499377,"Cholangiocytes","MAP3K20"
"PRPF39",1.12853861849948e-07,0.989286415115655,0.111,0.057,0.00160534618481552,"Cholangiocytes","PRPF39"
"ABTB1",1.13540820719006e-07,1.11305483598535,0.091,0.043,0.00161511817472786,"Cholangiocytes","ABTB1"
"STX6",1.13795530491683e-07,1.2555664804531,0.069,0.029,0.0016187414212442,"Cholangiocytes","STX6"
"TRAJ29",1.14209536308561e-07,2.42549148189542,0.022,0.004,0.00162463065398928,"Cholangiocytes","TRAJ29"
"HOOK3",1.1541805609058e-07,0.891155054244227,0.131,0.071,0.0016418218478885,"Cholangiocytes","HOOK3"
"ZNF609",1.16322785315318e-07,0.750142744717154,0.174,0.104,0.0016546916211104,"Cholangiocytes","ZNF609"
"BMP2K1",1.22776675215553e-07,0.929462709594548,0.132,0.072,0.00174649820494124,"Cholangiocytes","BMP2K"
"FMNL21",1.23180465892961e-07,1.24598043162391,0.074,0.032,0.00175224212732737,"Cholangiocytes","FMNL2"
"STAMBPL1",1.24728827411983e-07,1.98491889050943,0.031,0.008,0.00177426756993547,"Cholangiocytes","STAMBPL1"
"WDR41",1.26447437176851e-07,1.33802864064508,0.063,0.025,0.0017987147938407,"Cholangiocytes","WDR41"
"CHSY1",1.27207360800612e-07,1.3259558083445,0.063,0.025,0.00180952470738871,"Cholangiocytes","CHSY1"
"ANAPC4",1.28059934467995e-07,1.06199689428241,0.097,0.047,0.00182165256780722,"Cholangiocytes","ANAPC4"
"MARCH1",1.32615504053862e-07,1.59260146773067,0.046,0.016,0.00188645554516619,"Cholangiocytes","MARCH1"
"SLAMF7",1.34388943229335e-07,1.56590660106525,0.046,0.016,0.0019116827174373,"Cholangiocytes","SLAMF7"
"HIST1H2AB",1.36007588055937e-07,1.57749457534046,0.049,0.017,0.0019347079400957,"Cholangiocytes","HIST1H2AB"
"NFIX",1.362958376473e-07,1.06712139103999,0.117,0.062,0.00193880829053284,"Cholangiocytes","NFIX"
"ATP13A2",1.36673735197837e-07,1.57043981780651,0.049,0.017,0.00194418388318924,"Cholangiocytes","ATP13A2"
"IDUA",1.36720811694443e-07,1.09381541045649,0.089,0.042,0.00194485354635345,"Cholangiocytes","IDUA"
"TRAJ17",1.37694201983957e-07,2.40442986636759,0.023,0.005,0.00195870002322178,"Cholangiocytes","TRAJ17"
"DLGAP4",1.37938171361577e-07,0.70959811134781,0.207,0.131,0.00196217048761843,"Cholangiocytes","DLGAP4"
"APOBR",1.38400770227113e-07,1.54507309764809,0.048,0.017,0.00196875095648068,"Cholangiocytes","APOBR"
"CCDC28B",1.39294776553888e-07,2.31696702511725,0.023,0.005,0.00198146819647906,"Cholangiocytes","CCDC28B"
"KIF21B",1.39294776553888e-07,2.31696702511725,0.023,0.005,0.00198146819647906,"Cholangiocytes","KIF21B"
"PTK2",1.40428233194265e-07,0.611942067534992,0.323,0.235,0.00199759161718842,"Cholangiocytes","PTK2"
"ACAP2",1.42449352302292e-07,0.999727576023513,0.101,0.05,0.0020263420365001,"Cholangiocytes","ACAP2"
"RBM5",1.43239212362145e-07,0.666391728445032,0.218,0.14,0.00203757779585151,"Cholangiocytes","RBM5"
"HIST1H4B",1.43633737138417e-07,0.743231779819344,0.187,0.115,0.00204318991079399,"Cholangiocytes","HIST1H4B"
"GATAD2A",1.45974574288334e-07,0.827795491266471,0.189,0.118,0.00207648831925155,"Cholangiocytes","GATAD2A"
"GIT2",1.48118109744012e-07,1.06390718665626,0.092,0.044,0.00210698011110857,"Cholangiocytes","GIT2"
"SP100",1.49270792856741e-07,1.05762710284119,0.1,0.05,0.00212337702838714,"Cholangiocytes","SP100"
"TRPC4AP",1.542082924125e-07,0.967486156049413,0.129,0.071,0.00219361295956781,"Cholangiocytes","TRPC4AP"
"ATP6V0D1",1.6086824298605e-07,0.576627831522933,0.287,0.2,0.00228835075647656,"Cholangiocytes","ATP6V0D1"
"SAMD1",1.61217654485276e-07,0.990276100678941,0.106,0.054,0.00229332113505305,"Cholangiocytes","SAMD1"
"CD72",1.63069846701509e-07,1.28413563264987,0.072,0.031,0.00231966856932897,"Cholangiocytes","CD72"
"VPS35L",1.63242161935297e-07,1.00912858515,0.103,0.052,0.0023221197535296,"Cholangiocytes","VPS35L"
"HIST1H2BB",1.64520118627978e-07,1.00763896700952,0.092,0.044,0.00234029868748299,"Cholangiocytes","HIST1H2BB"
"COPS7B",1.66327022679246e-07,0.948781871826283,0.121,0.065,0.00236600189761227,"Cholangiocytes","COPS7B"
"U2AF2",1.67096060388326e-07,0.675590832401705,0.229,0.15,0.00237694145902394,"Cholangiocytes","U2AF2"
"MRFAP1L1",1.68974162829984e-07,0.610964904435556,0.326,0.238,0.00240365746625652,"Cholangiocytes","MRFAP1L1"
"TUBA1B",1.69559724405334e-07,1.61104713505149,0.043,0.014,0.00241198707966587,"Cholangiocytes","TUBA1B"
"DOK2",1.70855380425483e-07,1.10618885641488,0.083,0.038,0.0024304177865525,"Cholangiocytes","DOK2"
"CLTA",1.71001429463986e-07,0.599520881670464,0.24,0.158,0.0024324953341252,"Cholangiocytes","CLTA"
"SPATA20",1.73833827014054e-07,0.860935191836096,0.132,0.073,0.00247278618927492,"Cholangiocytes","SPATA20"
"SRRM2",1.76883302529022e-07,0.272012833817071,0.734,0.632,0.00251616497847534,"Cholangiocytes","SRRM2"
"DOCK11",1.77276616868043e-07,1.73361377725775,0.038,0.012,0.0025217598749479,"Cholangiocytes","DOCK11"
"NRROS",1.78150449798671e-07,1.60490073268112,0.045,0.015,0.00253419014838609,"Cholangiocytes","NRROS"
"DBN1",1.7824489839196e-07,1.87369584510946,0.032,0.009,0.00253553367962564,"Cholangiocytes","DBN1"
"CEP68",1.79094915410919e-07,1.5976724572781,0.045,0.015,0.00254762517172033,"Cholangiocytes","CEP68"
"GNAQ",1.83151254309425e-07,0.731844925409159,0.19,0.118,0.00260532659255157,"Cholangiocytes","GNAQ"
"TRBJ1-6",1.84440144073972e-07,2.72505176375432,0.017,0.003,0.00262366104945226,"Cholangiocytes","TRBJ1-6"
"NSD3",1.85151676405524e-07,0.844454684388059,0.138,0.077,0.00263378259686858,"Cholangiocytes","NSD3"
"PFKM",1.86587632014845e-07,1.56590660106525,0.046,0.016,0.00265420906541117,"Cholangiocytes","PFKM"
"ZNF586",1.91224729465413e-07,0.914529562618036,0.12,0.064,0.00272017177664551,"Cholangiocytes","ZNF586"
"NCS1",1.92325034561964e-07,2.47795890178955,0.02,0.004,0.00273582361664393,"Cholangiocytes","NCS1"
"EXOC3",1.95038267512163e-07,0.733399106467843,0.178,0.108,0.00277441935536052,"Cholangiocytes","EXOC3"
"PDLIM4",1.96381465086951e-07,3.5186008862869,0.011,0.001,0.00279352634086188,"Cholangiocytes","PDLIM4"
"CCN3",1.96381465086951e-07,3.5186008862869,0.011,0.001,0.00279352634086188,"Cholangiocytes","CCN3"
"INPPL1",2.02029436541057e-07,1.07499423481128,0.095,0.047,0.00287386873479654,"Cholangiocytes","INPPL1"
"LAT2",2.03636008061932e-07,1.66467914577484,0.04,0.013,0.00289672221468098,"Cholangiocytes","LAT2"
"ZNF276",2.03829048845049e-07,0.921956580518105,0.121,0.065,0.00289946821982083,"Cholangiocytes","ZNF276"
"PRPF38A",2.04018075314974e-07,0.914529562618036,0.126,0.069,0.0029021571213555,"Cholangiocytes","PRPF38A"
"TSPYL2",2.04026288660454e-07,1.20529327397188,0.071,0.03,0.00290227395619495,"Cholangiocytes","TSPYL2"
"GLIS2",2.08243189544624e-07,1.94744418509077,0.031,0.008,0.00296225937127227,"Cholangiocytes","GLIS2"
"CYBC1",2.10082393653806e-07,0.833187005833091,0.144,0.082,0.00298842204972539,"Cholangiocytes","CYBC1"
"RCN2",2.11044926732691e-07,0.803054275755596,0.144,0.082,0.00300211408277254,"Cholangiocytes","RCN2"
"POLR2A",2.14681252717572e-07,0.736456527026572,0.186,0.115,0.00305384081990746,"Cholangiocytes","POLR2A"
"FCER1G1",2.14718504965609e-07,0.674631446070828,0.313,0.227,0.00305437073313579,"Cholangiocytes","FCER1G"
"PIP4K2A",2.14957306198395e-07,1.38415068651452,0.061,0.025,0.00305776768067217,"Cholangiocytes","PIP4K2A"
"ASB1",2.15825715218098e-07,1.21972128150638,0.077,0.035,0.00307012079897745,"Cholangiocytes","ASB1"
"SAMD4B",2.16003918924172e-07,0.977030981079122,0.108,0.055,0.00307265574669634,"Cholangiocytes","SAMD4B"
"SEPTIN11",2.20386561409589e-07,0.804187134110538,0.146,0.083,0.0031349988360514,"Cholangiocytes","SEPTIN11"
"ATP6V1H",2.21022025054524e-07,1.20111869643073,0.077,0.035,0.0031440383064006,"Cholangiocytes","ATP6V1H"
"CTNND1",2.22832239376629e-07,0.468658083297559,0.424,0.329,0.00316978860513255,"Cholangiocytes","CTNND1"
"SLC1A31",2.24668747651692e-07,1.78608119715188,0.037,0.011,0.00319591293534532,"Cholangiocytes","SLC1A3"
"EVI2A",2.27115548500384e-07,1.75646471638578,0.037,0.011,0.00323071867741796,"Cholangiocytes","EVI2A"
"RAB24",2.2770475993893e-07,1.15771915705496,0.083,0.039,0.00323910021013128,"Cholangiocytes","RAB24"
"MAML1",2.30984439497524e-07,0.860483587549904,0.134,0.074,0.00328575365185227,"Cholangiocytes","MAML1"
"DBH",2.31879963395145e-07,1.22699732825633,0.074,0.033,0.00329849247929594,"Cholangiocytes","DBH"
"IFNGR21",2.31931712294996e-07,0.644576427039983,0.244,0.164,0.00329922860739632,"Cholangiocytes","IFNGR2"
"ESYT1",2.34004035384511e-07,0.640797157248983,0.237,0.157,0.00332870740334466,"Cholangiocytes","ESYT1"
"MYC",2.40204575423854e-07,0.706404701159793,0.189,0.117,0.00341691008540432,"Cholangiocytes","MYC"
"CDC42BPB",2.404116949571e-07,0.583620678137306,0.252,0.169,0.00341985636076475,"Cholangiocytes","CDC42BPB"
"TRIM21",2.43080896432975e-07,0.848391098947229,0.137,0.077,0.00345782575175907,"Cholangiocytes","TRIM21"
"ZFHX3",2.43396615031391e-07,1.04863717650446,0.098,0.049,0.00346231684882154,"Cholangiocytes","ZFHX3"
"STX3",2.45832864364184e-07,1.62480029011882,0.045,0.015,0.00349697249558052,"Cholangiocytes","STX3"
"FAM49A",2.46348268224633e-07,1.37818576711706,0.063,0.026,0.0035043041154954,"Cholangiocytes","FAM49A"
"LPCAT4",2.46709844843342e-07,2.35510215400402,0.022,0.004,0.00350944754289654,"Cholangiocytes","LPCAT4"
"HAVCR21",2.4806101046219e-07,1.60490073268112,0.045,0.015,0.00352866787382466,"Cholangiocytes","HAVCR2"
"IL17RE",2.49483334205957e-07,2.84052898117426,0.015,0.002,0.00354890042907974,"Cholangiocytes","IL17RE"
"OSTF1",2.49689010748992e-07,0.684555425114543,0.19,0.118,0.00355182617790441,"Cholangiocytes","OSTF1"
"SPART",2.57056648697422e-07,1.4685602037873,0.051,0.019,0.00365663082772083,"Cholangiocytes","SPART"
"AFAP1L1",2.58861504088711e-07,1.4522583914582,0.051,0.019,0.00368230489566191,"Cholangiocytes","AFAP1L1"
"LUC7L2",2.5898478379779e-07,0.481988103539616,0.347,0.253,0.00368405854952357,"Cholangiocytes","LUC7L2"
"RBM26",2.60587851707158e-07,0.91069005259166,0.118,0.063,0.00370686219053432,"Cholangiocytes","RBM26"
"FCGR1B",2.62141832716054e-07,1.5186008862869,0.048,0.017,0.00372896757038587,"Cholangiocytes","FCGR1B"
"CPM",2.7654047857487e-07,0.897112509540626,0.132,0.074,0.00393378830772753,"Cholangiocytes","CPM"
"USP11",2.77706147212117e-07,1.07777936123782,0.091,0.044,0.00395036994409237,"Cholangiocytes","USP11"
"ZSWIM4",2.79348234514054e-07,2.28413563264987,0.023,0.005,0.00397372863596241,"Cholangiocytes","ZSWIM4"
"SMARCC2",2.79556369300763e-07,1.01299617717902,0.104,0.054,0.00397668935330335,"Cholangiocytes","SMARCC2"
"RASSF2",2.86229542336136e-07,2.10356338700805,0.026,0.006,0.00407161523973154,"Cholangiocytes","RASSF2"
"ANKRD22",2.88316199474744e-07,1.78163529212069,0.035,0.011,0.00410129793752823,"Cholangiocytes","ANKRD22"
"ADAM28",2.90938200570851e-07,3.20309906055897,0.012,0.001,0.00413859590312035,"Cholangiocytes","ADAM28"
"ANGPT1",2.90938200570851e-07,3.20309906055897,0.012,0.001,0.00413859590312035,"Cholangiocytes","ANGPT1"
"CLIP2",2.92569032931569e-07,2.17310432026113,0.025,0.006,0.00416179449345157,"Cholangiocytes","CLIP2"
"PSMD10",2.93470408912063e-07,0.805670223962608,0.138,0.078,0.0041746165667741,"Cholangiocytes","PSMD10"
"FLOT1",2.9584593121499e-07,0.550708632317521,0.289,0.202,0.00420840837153324,"Cholangiocytes","FLOT1"
"ZMYM2",2.97294128743407e-07,0.64258960356235,0.24,0.16,0.00422900898137496,"Cholangiocytes","ZMYM2"
